Date,State,TotalSamples,Negative,Positive,New Samples,New Negative,New Positive,State_code
4/17/2020,Andaman and Nicobar Islands,1403,1210,12,1403,1210,12,AN
4/24/2020,Andaman and Nicobar Islands,2679,,27,1276,0,15,AN
4/27/2020,Andaman and Nicobar Islands,2848,,33,169,0,6,AN
5/1/2020,Andaman and Nicobar Islands,3754,,33,906,0,0,AN
4/2/2020,Andhra Pradesh,1800,1175,132,1800,1175,132,AP
4/10/2020,Andhra Pradesh,6374,6009,365,4574,4834,233,AP
4/11/2020,Andhra Pradesh,6958,6577,381,584,568,16,AP
4/12/2020,Andhra Pradesh,6958,6553,405,0,-24,24,AP
4/13/2020,Andhra Pradesh,8755,8323,432,1797,1770,27,AP
4/14/2020,Andhra Pradesh,10505,10032,473,1750,1709,41,AP
4/15/2020,Andhra Pradesh,11613,11088,525,1108,1056,52,AP
4/16/2020,Andhra Pradesh,20235,19701,534,8622,8613,9,AP
4/17/2020,Andhra Pradesh,20235,,572,0,0,38,AP
4/18/2020,Andhra Pradesh,21450,20487,603,1215,20487,31,AP
4/19/2020,Andhra Pradesh,26958,26311,647,5508,5824,44,AP
4/20/2020,Andhra Pradesh,30733,30011,722,3775,3700,75,AP
4/21/2020,Andhra Pradesh,35755,34998,757,5022,4987,35,AP
4/22/2020,Andhra Pradesh,41512,40699,813,5757,5701,56,AP
4/23/2020,Andhra Pradesh,48032,47139,893,6520,6440,80,AP
4/24/2020,Andhra Pradesh,54338,53383,955,6306,6244,62,AP
4/25/2020,Andhra Pradesh,61266,60250,1016,6928,6867,61,AP
4/26/2020,Andhra Pradesh,68034,66937,1097,6768,6687,81,AP
4/27/2020,Andhra Pradesh,74551,73374,1177,6517,6437,80,AP
4/28/2020,Andhra Pradesh,80334,79075,1259,5783,5701,82,AP
4/29/2020,Andhra Pradesh,88061,86729,1332,7727,7654,73,AP
4/30/2020,Andhra Pradesh,94558,93155,1403,6497,6426,71,AP
5/1/2020,Andhra Pradesh,102460,100997,1463,7902,7842,60,AP
5/2/2020,Andhra Pradesh,108403,106878,1525,5943,5881,62,AP
5/3/2020,Andhra Pradesh,114937,113354,1583,6534,6476,58,AP
5/4/2020,Andhra Pradesh,125229,123579,1650,10292,10225,67,AP
5/5/2020,Andhra Pradesh,133492,131775,1717,8263,8196,67,AP
5/6/2020,Andhra Pradesh,141274,139497,1777,7782,7722,60,AP
5/7/2020,Andhra Pradesh,149361,147528,1833,8087,8031,56,AP
5/8/2020,Andhra Pradesh,156681,154794,1887,7320,7266,54,AP
5/9/2020,Andhra Pradesh,165069,163139,1930,8388,8345,43,AP
5/10/2020,Andhra Pradesh,173735,171755,1980,8666,8616,50,AP
5/11/2020,Andhra Pradesh,181144,179126,2018,7409,7371,38,AP
5/12/2020,Andhra Pradesh,191874,189823,2051,10730,10697,33,AP
5/13/2020,Andhra Pradesh,201196,199059,2137,9322,9236,86,AP
5/14/2020,Andhra Pradesh,210452,208247,2100,9256,9188,-37,AP
5/15/2020,Andhra Pradesh,219490,217183,2157,9038,8936,57,AP
4/9/2020,Arunachal Pradesh,206,185,1,206,185,1,AR
4/14/2020,Arunachal Pradesh,280,250,1,74,65,0,AR
4/17/2020,Arunachal Pradesh,363,338,1,83,88,0,AR
4/18/2020,Arunachal Pradesh,389,358,1,26,20,0,AR
4/20/2020,Arunachal Pradesh,439,405,1,50,47,0,AR
4/21/2020,Arunachal Pradesh,454,433,1,15,28,0,AR
4/22/2020,Arunachal Pradesh,496,441,2,42,8,1,AR
4/24/2020,Arunachal Pradesh,526,508,2,30,67,0,AR
4/26/2020,Arunachal Pradesh,568,529,2,42,21,0,AR
4/27/2020,Arunachal Pradesh,584,566,2,16,37,0,AR
4/28/2020,Arunachal Pradesh,610,581,2,26,15,0,AR
4/29/2020,Arunachal Pradesh,662,595,2,52,14,0,AR
4/30/2020,Arunachal Pradesh,694,656,2,32,61,0,AR
5/1/2020,Arunachal Pradesh,724,692,2,30,36,0,AR
5/3/2020,Arunachal Pradesh,810,761,2,86,69,0,AR
5/4/2020,Arunachal Pradesh,869,762,2,59,1,0,AR
5/5/2020,Arunachal Pradesh,970,814,2,101,52,0,AR
5/6/2020,Arunachal Pradesh,1039,857,2,69,43,0,AR
