State,district,State and District,date,confirmed,active,recovered,deceased,New Confirmed,New active,New recovered,New deceased,State_Code
Andaman and Nicobar Islands,Nicobars,"Nicobars, Andaman and Nicobar Islands",5/13/2020,0,0,0,0,0,0,0,0,AN
Andaman and Nicobar Islands,Nicobars,"Nicobars, Andaman and Nicobar Islands",5/14/2020,0,0,0,0,0,0,0,0,AN
Andaman and Nicobar Islands,Nicobars,"Nicobars, Andaman and Nicobar Islands",5/15/2020,0,0,0,0,0,0,0,0,AN
Andaman and Nicobar Islands,Nicobars,"Nicobars, Andaman and Nicobar Islands",5/16/2020,0,0,0,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/21/2020,1,0,1,0,1,0,1,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/22/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/23/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/24/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/25/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/26/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/27/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/28/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/29/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",4/30/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/1/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/2/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/3/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/4/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/5/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/6/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/7/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/8/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/9/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/10/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/11/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/12/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/13/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/14/2020,1,0,1,0,0,0,0,0,AN
Andaman and Nicobar Islands,North and Middle Andaman,"North and Middle Andaman, Andaman and Nicobar Islands",5/15/2020,1,0,1,0,0,0,0,0,AN
