date,location,new_cases,new_deaths,total_cases,total_deaths
21/4/20,India,,,20080,152
22/4/20,India,1272,377,21370,529
23/4/20,India,1272,38,23039,567
24/4/20,India,1409,184,24447,751
25/4/20,India,2216,65,26283,798
26/4/20,India,1613,42,27890,836
27/4/20,India,1239,82,29451,913
28/4/20,India,1794,53,31361,1008
29/4/20,India,1691,102,33061,1079
30/4/20,India,1881,84,34862,1154
1/5/20,India,2302,33,37257,1223
2/5/20,India,2395,99,39699,1323
3/5/20,India,2780,67,42505,1391
4/5/20,India,4430,225,46437,1566
5/5/20,India,2402,92,49400,1693
6/5/20,India,3577,87,52987,1786
7/5/20,India,3310,102,56351,1889
8/5/20,India,3305,96,59642,1985
9/5/20,India,3147,115,62808,2101
10/5/20,India,4337,111,67161,2212
11/5/20,India,3601,81,70768,2294
12/5/20,India,3425,121,74243,2415
13/5/20,India,3803,136,78055,2551
14/5/20,India,3923,98,81989,2649
15/5/20,India,3809,104,85784,2753
16/5/20,India,895,7,86678,2760
